cartodb_id,the_geom,name,id,symbolfld,nrel_id,cooling,nameplate,longitude,fuel,latitude,lakeocean,pca,state
70,0101000020E61000003333333333BB57C0CDCCCCCCCCDC4340,1393,54,Default Symbol,1393,1,90,-94.925,2,39.725,0,p54,MO
71,0101000020E61000003333333333BB57C0CDCCCCCCCCDC4340,1393,14,Default Symbol,1393,2,60.5,-94.925,5,39.725,0,p54,MO
72,0101000020E6100000CDCCCCCCCCB456C09A99999999494340,1394,55,Default Symbol,1394,1,2389.4,-90.825,2,38.575,0,p72,MO
73,0101000020E6100000CDCCCCCCCC9456C06666666666364340,1395,56,Default Symbol,1395,1,923,-90.325,2,38.425,0,p72,MO
74,0101000020E61000009A999999999156C06666666666764340,1396,57,Default Symbol,1396,1,1099.4,-90.275,2,38.925,0,p72,MO
75,0101000020E61000009A999999991157C0CDCCCCCCCC7C4340,1397,58,Default Symbol,1397,2,38.5,-92.275,2,38.975,1,p72,MO
76,0101000020E6100000CDCCCCCCCC9457C09A99999999894340,1398,59,Default Symbol,1398,2,115,-94.325,2,39.075,1,p54,MO
77,0101000020E61000009A999999995157C09A99999999894240,1399,60,Default Symbol,1399,2,253,-93.275,2,37.075,1,p55,MO
78,0101000020E61000009A999999996156C0CDCCCCCCCC3C4240,1400,61,Default Symbol,1400,1,1300,-89.525,2,36.475,0,p84,MO
79,0101000020E61000003333333333EB58C06666666666564440,1405,62,Default Symbol,1405,1,108.8,-99.675,5,40.675,0,p40,NE
80,0101000020E610000066666666661E58C06666666666B64440,1406,63,Default Symbol,1406,2,130,-96.475,2,41.425,0,p41,NE
81,0101000020E61000009A999999993158C09A99999999494440,1408,64,Default Symbol,1408,2,228.7,-96.775,2,40.575,1,p41,NE
82,0101000020E61000003333333333FB57C09A99999999A94440,1410,65,Default Symbol,1410,1,217.6,-95.925,2,41.325,0,p41,NE
83,0101000020E61000003333333333FB57C09A99999999A94440,1410,15,Default Symbol,1410,2,427.1,-95.925,2,41.325,0,p41,NE
84,0101000020E6100000CDCCCCCCCCC45CC09A99999999094240,1411,66,Default Symbol,1411,5,578.8,-115.075,3,36.075,1,p13,NV
85,0101000020E61000000000000000A85CC06666666666564240,1412,67,Default Symbol,1412,2,294.8,-114.625,2,36.675,1,p13,NV
86,0101000020E61000000000000000C85DC00000000000904340,1414,68,Default Symbol,1414,2,230,-119.125,5,39.125,1,p12,NV
87,0101000020E61000009A99999999E15DC09A99999999C94340,1415,16,Default Symbol,1415,2,119.8,-119.525,5,39.575,0,p12,NV
88,0101000020E61000009A99999999E15DC09A99999999C94340,1415,69,Default Symbol,1415,5,743.1,-119.525,3,39.575,0,p12,NV
89,0101000020E61000006666666666DE51C00000000000904540,1417,70,Default Symbol,1417,1,459.2,-71.475,2,43.125,0,p130,NH
90,0101000020E61000006666666666AE51C09A99999999894540,1418,17,Default Symbol,1418,1,100,-70.725,2,43.075,0,p130,NH
91,0101000020E61000006666666666AE51C09A99999999894540,1418,71,Default Symbol,1418,1,50,-70.725,1,43.075,0,p130,NH
92,0101000020E61000000000000000A852C03333333333A34340,1419,72,Default Symbol,1419,2,163.2,-74.625,2,39.275,1,p126,NJ
93,0101000020E61000000000000000A852C03333333333A34340,1419,18,Default Symbol,1419,2,176.4,-74.625,5,39.275,1,p126,NJ
94,0101000020E61000003333333333CB52C09A99999999494440,1427,73,Default Symbol,1427,5,351,-75.175,3,40.575,0,p126,NJ
95,0101000020E6100000CDCCCCCCCC8452C09A99999999694440,1428,74,Default Symbol,1428,5,1343.4,-74.075,3,40.825,1,p126,NJ
96,0101000020E610000033333333338B52C00000000000504440,1432,75,Default Symbol,1432,5,1186,-74.175,3,40.625,1,p126,NJ
97,0101000020E61000006666666666AE52C06666666666164440,1433,76,Default Symbol,1433,1,652.8,-74.725,2,40.175,0,p126,NJ
98,0101000020E610000066666666661E5BC0CDCCCCCCCC5C4240,1436,77,Default Symbol,1436,2,1636.2,-108.475,2,36.725,0,p31,NM
99,0101000020E6100000CDCCCCCCCCA45AC03333333333D33F40,1437,78,Default Symbol,1437,2,266.5,-106.575,5,31.825,0,p31,NM
100,0101000020E6100000CDCCCCCCCCD459C0CDCCCCCCCC5C4040,1439,79,Default Symbol,1439,2,113.6,-103.325,5,32.725,1,p47,NM
101,0101000020E61000000000000000A85AC06666666666964140,1441,80,Default Symbol,1441,2,154,-106.625,5,35.175,1,p31,NM
102,0101000020E610000033333333331B5BC0CDCCCCCCCC5C4240,1442,81,Default Symbol,1442,2,1848.004,-108.425,2,36.725,0,p31,NM
103,0101000020E61000000000000000D859C0CDCCCCCCCC5C4040,1444,82,Default Symbol,1444,2,265.4,-103.375,5,32.725,1,p47,NM
104,0101000020E610000066666666667E52C00000000000D04440,1445,83,Default Symbol,1445,1,386.5,-73.975,2,41.625,0,p127,NY
105,0101000020E610000066666666667E52C00000000000D04440,1445,19,Default Symbol,1445,1,532,-73.975,5,41.625,0,p127,NY
106,0101000020E610000066666666667E52C09A99999999A94440,1450,84,Default Symbol,1450,1,1371.29,-73.975,4,41.325,0,p127,NY
107,0101000020E610000033333333337B52C0CDCCCCCCCC9C4440,1467,85,Default Symbol,1467,1,1242,-73.925,5,41.225,0,p127,NY
108,0101000020E61000006666666666CE53C00000000000104540,1471,86,Default Symbol,1471,2,49,-79.225,5,42.125,0,p127,NY
109,0101000020E6100000CDCCCCCCCCA454C0CDCCCCCCCCBC4140,1472,87,Default Symbol,1472,2,413.6,-82.575,2,35.475,1,p97,NC
110,0101000020E61000009A999999998153C00000000000B04140,1475,88,Default Symbol,1475,5,1068,-78.025,3,35.375,0,p98,NC
