,place,lon,lat,cooling,fuel,state,f,c,idc
112,1481,-80.375,35.725,4,3,NC,Gas,CC-OT,3
113,1482,-81.775,35.225,2,2,NC,Coal,ST-RC,1
114,1483,-79.675,36.475,4,3,NC,Gas,CC-OT,1
115,1486,-100.875,46.875,2,2,ND,Coal,ST-RC,4
116,1487,-101.325,47.275,2,2,ND,Coal,ST-RC,4
117,1487,-101.325,47.275,1,2,ND,Coal,ST-OT,4
118,1488,-101.225,47.075,2,2,ND,Coal,ST-RC,4
119,1489,-101.375,47.325,1,2,ND,Coal,ST-OT,4
120,1490,-80.675,40.225,2,2,OH,Coal,ST-RC,3
121,1492,-84.775,39.125,2,2,OH,Coal,ST-RC,3
122,1492,-84.775,39.125,1,2,OH,Coal,ST-OT,3
123,1497,-81.925,40.175,2,2,OH,Coal,ST-RC,3
124,1500,-83.675,38.625,1,2,OH,Coal,ST-OT,1
125,1500,-83.675,38.625,2,2,OH,Coal,ST-RC,1
126,1504,-80.625,40.525,1,2,OH,Coal,ST-OT,3
127,1507,-82.125,38.925,1,2,OH,Coal,ST-OT,3
128,1510,-84.525,39.425,1,2,OH,Coal,ST-OT,3
129,1510,-84.525,39.425,1,5,OH,Oil,ST-OT,3
130,1511,-81.775,40.825,2,2,OH,Coal,ST-RC,3
131,1512,-81.225,41.725,2,2,OH,Coal,ST-RC,3
132,1514,-97.175,35.525,2,5,OK,Oil,ST-RC,1
133,1514,-97.175,35.525,5,3,OK,Gas,CC-RC,1
134,1515,-95.275,35.775,2,2,OK,Coal,ST-RC,1
135,1516,-97.675,35.475,2,5,OK,Oil,ST-RC,1
136,1517,-96.725,34.975,2,5,OK,Oil,ST-RC,1
137,1519,-98.325,35.075,2,5,OK,Oil,ST-RC,1
138,1520,-96.025,36.125,2,5,OK,Oil,ST-RC,1
139,1521,-98.225,35.075,2,5,OK,Oil,ST-RC,1
140,1521,-98.225,35.075,5,3,OK,Gas,CC-RC,1
141,1522,-99.225,36.425,2,5,OK,Oil,ST-RC,3
142,1523,-80.025,40.475,5,3,PA,Gas,CC-RC,3
143,1526,-77.175,39.875,6,3,PA,Gas,CC-DC,5
144,1528,-75.075,40.925,1,2,PA,Coal,ST-OT,0
145,1531,-79.125,40.375,2,2,PA,Coal,ST-RC,3
146,1533,-79.175,40.475,2,2,PA,Coal,ST-RC,3
147,1534,-79.075,40.375,2,2,PA,Coal,ST-RC,3
148,1538,-79.375,40.625,2,2,PA,Coal,ST-RC,3
149,1539,-80.375,40.925,1,2,PA,Coal,ST-OT,0
