,nrel_id,cooling,longitude,fuel,latitude,state,dischargefile
564,2261,2,-100.975,2,37.975,KS,659_740.tsv
565,2262,2,-110.275,2,34.925,AZ,598_554.tsv
569,2267,2,-110.925,2,32.175,AZ,543_541.tsv
571,2268,2,-99.175,2,34.075,TX,581_776.tsv
572,2269,2,-80.125,2,33.375,SC,567_1157.tsv
573,2270,2,-81.575,2,29.775,FL,495_1128.tsv
577,2273,2,-109.875,2,32.075,AZ,541_562.tsv
579,2274,2,-95.275,2,36.175,OK,623_854.tsv
583,2281,2,-81.525,2,30.375,FL,507_1129.tsv
584,2289,2,-96.275,2,31.425,TX,528_834.tsv
588,2307,2,-88.175,2,41.475,IL,729_996.tsv
592,2315,2,-104.925,2,39.825,CO,696_661.tsv
594,2316,2,-104.575,2,38.275,CO,665_668.tsv
595,2317,2,-105.225,2,40.025,CO,700_655.tsv
597,2319,2,-104.825,2,38.825,CO,676_663.tsv
599,2321,2,-107.175,2,40.525,CO,710_616.tsv
600,2322,2,-108.525,2,38.225,CO,664_589.tsv
605,2328,2,-81.175,2,28.475,FL,469_1136.tsv
608,2333,2,-75.225,2,38.575,DE,671_1255.tsv
610,2335,2,-76.475,2,39.175,MD,683_1230.tsv
617,2346,2,-82.725,2,28.925,FL,478_1105.tsv
619,2351,2,-87.225,2,30.575,FL,511_1015.tsv
620,2351,1,-87.225,2,30.575,FL,511_1015.tsv
623,2358,2,-82.425,2,29.775,FL,495_1111.tsv
626,2361,1,-81.425,2,30.375,FL,507_1131.tsv
631,2365,2,-81.925,2,28.075,FL,461_1121.tsv
635,2371,2,-84.925,2,34.175,GA,583_1061.tsv
636,2372,2,-85.375,2,34.225,GA,584_1052.tsv
637,2372,1,-85.375,2,34.225,GA,584_1052.tsv
638,2375,1,-84.175,2,31.425,GA,528_1076.tsv
639,2376,2,-84.875,2,33.475,GA,569_1062.tsv
641,2378,1,-90.475,2,41.525,IA,730_950.tsv
642,2382,1,-89.675,2,40.575,IL,711_966.tsv
643,2383,2,-89.425,2,39.075,IL,681_971.tsv
645,2390,1,-88.125,2,41.525,IL,730_997.tsv
646,2391,2,-89.425,2,39.625,IL,692_971.tsv
647,2393,2,-89.725,2,40.575,IL,711_965.tsv
648,2396,1,-88.075,2,41.625,IL,732_998.tsv
649,2398,1,-88.875,2,37.225,IL,644_982.tsv
650,2399,2,-89.875,2,38.225,IL,664_962.tsv
651,2400,2,-90.125,2,40.275,IL,705_957.tsv
652,2401,1,-89.325,2,41.275,IL,725_973.tsv
653,2405,1,-90.125,2,38.825,IL,676_957.tsv
654,2407,2,-89.575,2,39.725,IL,694_968.tsv
655,2409,2,-88.975,2,37.625,IL,652_980.tsv
656,2411,1,-85.425,2,38.725,IN,674_1051.tsv
657,2414,1,-86.175,2,39.725,IN,694_1036.tsv
658,2414,2,-86.175,2,39.725,IN,694_1036.tsv
660,2415,2,-86.425,2,39.475,IN,689_1031.tsv
661,2416,1,-87.275,2,38.525,IN,670_1014.tsv
662,2416,2,-87.275,2,38.525,IN,670_1014.tsv
663,2417,2,-87.125,2,41.675,IN,733_1017.tsv
664,2419,2,-86.925,2,41.725,IN,734_1021.tsv
665,2420,1,-87.425,2,39.925,IN,698_1011.tsv
666,2421,4,-87.225,2,38.775,IN,675_1015.tsv
668,2423,1,-85.825,2,38.275,IN,665_1043.tsv
669,2424,5,-87.425,2,39.525,IN,690_1011.tsv
670,2424,1,-87.425,2,39.525,IN,690_1011.tsv
671,2425,1,-87.325,2,37.875,IN,657_1013.tsv
673,2427,2,-84.925,2,39.775,IN,695_1061.tsv
674,2429,1,-90.625,2,42.525,IA,750_947.tsv
676,2430,1,-91.175,2,43.325,IA,766_936.tsv
678,2433,1,-91.625,2,41.975,IA,739_927.tsv
681,2436,2,-95.875,2,41.175,IA,723_842.tsv
682,2436,1,-95.875,2,41.175,IA,723_842.tsv
683,2437,1,-96.375,2,42.325,IA,746_832.tsv
684,2438,1,-91.125,2,40.775,IA,715_937.tsv
685,2439,2,-93.575,2,42.025,IA,740_888.tsv
686,2440,1,-92.425,2,42.525,IA,750_911.tsv
692,2449,2,-94.675,2,38.375,KS,667_866.tsv
695,2453,2,-95.275,2,39.025,KS,680_854.tsv
696,2454,2,-95.575,2,39.075,KS,681_848.tsv
699,2457,1,-94.625,2,39.125,KS,682_867.tsv
701,2459,2,-82.625,2,38.125,KY,662_1107.tsv
702,2460,2,-84.725,2,37.775,KY,655_1065.tsv
703,2461,2,-85.025,2,38.775,KY,675_1059.tsv
705,2465,2,-85.925,2,38.075,KY,661_1041.tsv
706,2466,1,-87.075,2,37.825,KY,656_1018.tsv
707,2467,2,-86.975,2,37.275,KY,645_1020.tsv
708,2468,1,-88.775,2,37.175,KY,643_984.tsv
709,2469,2,-86.775,2,37.925,KY,658_1024.tsv
760,73488,2,-78.725,2,40.475,PA,709_1185.tsv
770,73636,2,-75.375,2,39.825,PA,696_1252.tsv
775,73716,2,-90.175,2,41.825,IA,736_956.tsv
779,73740,1,-79.925,2,32.825,SC,556_1161.tsv
780,73761,2,-106.625,2,45.975,MT,819_627.tsv
791,73869,2,-86.925,2,40.025,IN,700_1021.tsv
800,74066,1,-81.475,2,40.525,OH,710_1130.tsv
805,74132,2,-95.275,2,43.175,IA,763_854.tsv
809,74169,2,-78.775,2,40.475,PA,709_1184.tsv
812,74205,2,-78.575,2,34.625,NC,592_1188.tsv
832,74509,2,-83.275,2,42.675,MI,753_1094.tsv
839,74690,2,-80.075,2,39.525,WV,690_1158.tsv
844,74763,2,-87.425,2,37.675,KY,653_1011.tsv
853,74906,2,-92.925,2,47.425,MN,848_901.tsv
857,74939,2,-97.025,2,47.425,ND,848_819.tsv
875,75127,2,-98.325,2,29.325,TX,486_793.tsv
881,75157,2,-86.925,2,38.425,IN,668_1021.tsv
884,75180,2,-76.225,2,40.775,PA,715_1235.tsv
886,75189,1,-91.925,2,44.275,WI,785_921.tsv
893,75345,2,-75.975,2,40.875,PA,717_1240.tsv
896,75426,2,-102.625,2,38.125,CO,662_707.tsv
910,75722,2,-93.225,2,39.125,MO,682_895.tsv
919,75877,2,-87.975,2,43.025,WI,760_1000.tsv
927,75997,2,-76.425,2,40.825,PA,716_1231.tsv
933,76102,1,-96.375,2,42.275,IA,745_832.tsv
940,76240,2,-95.675,2,36.425,OK,628_846.tsv
943,76243,2,-75.475,2,40.675,PA,713_1250.tsv
964,76542,2,-86.175,2,39.775,IN,695_1036.tsv
969,76629,2,-83.925,2,31.875,GA,537_1081.tsv
976,76681,2,-91.275,2,30.625,LA,512_934.tsv
979,76732,2,-89.675,2,38.275,IL,665_966.tsv
982,76790,2,-87.475,2,37.625,KY,652_1010.tsv
995,76901,2,-119.075,2,35.775,CA,615_378.tsv
1003,77002,3,-108.475,2,45.825,MT,816_590.tsv
1010,77093,2,-95.025,2,45.175,MN,803_859.tsv
1014,77131,2,-89.575,2,46.775,MI,835_968.tsv
1016,77141,2,-76.175,2,40.775,PA,715_1236.tsv
1018,77148,2,-76.375,2,40.625,PA,712_1232.tsv
1026,77328,3,-105.425,2,44.275,WY,785_651.tsv
1034,77565,2,-104.525,2,37.175,CO,643_669.tsv
1036,77570,2,-105.175,2,39.775,CO,695_656.tsv
1049,77757,2,-110.425,2,39.525,UT,690_551.tsv
1052,77860,2,-76.175,2,40.825,PA,716_1236.tsv
1076,385617,2,-96.025,2,46.275,MN,825_839.tsv
1095,587961,3,-105.375,2,44.325,WY,786_652.tsv
1096,587988,2,-107.575,2,45.775,MT,815_608.tsv
1102,588046,2,-79.925,2,39.725,WV,694_1161.tsv
1107,588238,2,-89.925,2,35.675,AR,613_961.tsv
1117,613310,2,-82.325,2,36.875,VA,637_1113.tsv
1119,613335,2,-96.975,2,31.475,TX,529_820.tsv
1120,613373,2,-116.525,2,40.675,NV,713_429.tsv
1126,650972,2,-87.875,2,42.875,WI,757_1002.tsv
1130,735714,2,-105.475,2,44.425,WY,788_650.tsv
1132,746556,2,-112.225,2,40.725,UT,714_515.tsv
1134,751356,2,-96.575,2,28.625,TX,472_828.tsv
1135,820019,2,-96.475,2,31.175,TX,523_830.tsv
1136,826582,2,-97.075,2,30.575,TX,511_818.tsv
1137,840309,2,-105.275,2,44.275,WY,785_654.tsv
1143,874697,2,-93.825,2,33.625,AR,572_883.tsv
1147,883620,5,-88.775,2,32.625,MS,552_984.tsv
1157,1127605,2,-94.575,2,39.125,MO,682_868.tsv
1169,1358974,2,-97.275,2,41.375,NE,727_814.tsv
