,nrel_id,cooling,longitude,fuel,latitude,dischargefile
516,2167,5,-103.625,3,40.225,704_687.tsv
518,2169,5,-88.325,3,41.425,728_993.tsv
519,2170,5,-121.875,3,38.075,661_322.tsv
520,2171,5,-90.225,3,32.375,547_955.tsv
521,2173,5,-89.875,3,33.025,560_962.tsv
522,2174,5,-92.175,3,34.575,591_916.tsv
523,2176,5,-96.675,3,32.325,546_826.tsv
524,2178,5,-95.725,3,36.025,620_845.tsv
525,2179,5,-96.125,3,31.875,537_837.tsv
526,2187,5,-88.025,3,30.775,515_999.tsv
527,2193,5,-87.475,3,41.725,734_1010.tsv
528,2200,5,-87.025,3,34.625,592_1019.tsv
529,2201,5,-70.375,3,43.675,773_1352.tsv
530,2203,5,-95.175,3,29.725,494_856.tsv
531,2207,5,-97.225,3,27.875,457_815.tsv
532,2210,5,-75.325,3,39.875,697_1253.tsv
533,2211,5,-119.325,3,45.925,818_373.tsv
534,2212,5,-121.825,3,38.075,661_323.tsv
535,2213,5,-88.825,3,39.225,684_983.tsv
536,2214,5,-87.525,3,39.375,687_1009.tsv
537,2220,5,-92.925,3,34.275,585_901.tsv
538,2222,5,-97.575,3,35.275,605_808.tsv
539,2223,5,-92.075,3,32.825,556_918.tsv
540,2228,5,-98.175,3,26.325,426_796.tsv
541,2229,5,-92.025,3,32.725,554_919.tsv
542,2238,5,-71.575,3,42.025,740_1328.tsv
543,2239,5,-71.625,3,42.075,741_1327.tsv
544,2240,5,-87.975,3,30.975,519_1000.tsv
546,2241,5,-81.925,3,27.625,452_1121.tsv
563,2260,5,-97.625,3,30.225,504_807.tsv
567,2264,5,-112.175,3,33.425,568_516.tsv
576,2272,5,-111.925,3,33.375,567_521.tsv
578,2273,5,-109.875,3,32.075,541_562.tsv
586,2305,5,-117.275,3,34.075,581_414.tsv
587,2306,5,-118.275,3,34.125,582_394.tsv
590,2308,5,-115.525,3,32.775,555_449.tsv
593,2315,5,-104.925,3,39.825,696_661.tsv
604,2328,5,-81.175,3,28.475,469_1136.tsv
612,2341,5,-80.225,3,26.075,421_1155.tsv
613,2344,5,-81.325,3,28.825,476_1133.tsv
615,2345,5,-80.325,3,25.425,408_1153.tsv
621,2353,5,-85.675,3,30.275,505_1046.tsv
624,2359,5,-82.325,3,29.675,493_1113.tsv
627,2363,5,-80.075,3,26.625,432_1158.tsv
628,2364,5,-81.925,3,28.025,460_1121.tsv
630,2365,5,-81.925,3,28.075,461_1121.tsv
633,2367,5,-84.425,3,30.475,509_1071.tsv
667,2422,5,-85.975,3,40.075,701_1040.tsv
669,2424,5,-87.425,2,39.525,690_1011.tsv
672,2426,5,-78.875,3,35.075,601_1182.tsv
687,2442,5,-94.375,3,41.125,722_872.tsv
704,2464,5,-85.875,3,38.175,663_1042.tsv
713,72745,5,-71.475,3,42.875,757_1330.tsv
714,72748,5,-76.375,3,40.375,707_1232.tsv
715,72749,5,-97.725,3,32.325,546_805.tsv
717,72767,5,-85.475,3,42.975,759_1050.tsv
718,72775,5,-106.875,3,32.125,542_622.tsv
719,72779,5,-121.925,3,37.425,648_321.tsv
721,72783,5,-72.625,3,41.925,738_1307.tsv
724,72820,5,-78.075,3,42.525,750_1198.tsv
725,72826,5,-114.875,3,36.425,628_462.tsv
729,72931,5,-112.925,3,33.325,566_501.tsv
733,72973,5,-86.575,3,32.375,547_1028.tsv
735,73051,5,-97.525,3,30.225,504_809.tsv
736,73072,5,-94.825,3,29.775,495_863.tsv
740,73155,5,-75.325,3,40.625,712_1253.tsv
744,73256,5,-114.675,3,33.625,572_466.tsv
748,73311,5,-81.925,3,30.325,506_1121.tsv
749,73318,5,-95.575,3,29.475,489_848.tsv
755,73447,5,-78.125,3,38.975,679_1197.tsv
757,73473,5,-88.325,3,33.575,571_993.tsv
761,73503,5,-81.525,3,28.275,465_1129.tsv
762,73511,5,-72.675,3,41.775,735_1306.tsv
764,73532,5,-118.175,3,33.875,577_396.tsv
765,73535,5,-75.625,3,43.975,779_1247.tsv
766,73538,5,-91.075,3,30.225,504_938.tsv
767,73583,5,-81.575,3,28.425,468_1128.tsv
768,73618,5,-84.975,3,33.425,568_1060.tsv
771,73667,5,-89.225,3,33.375,567_975.tsv
772,73669,5,-95.225,3,36.225,624_855.tsv
773,73701,5,-85.875,3,42.725,754_1042.tsv
781,73765,5,-80.975,3,33.875,577_1140.tsv
784,73776,5,-88.275,3,44.275,785_994.tsv
786,73844,5,-121.125,3,38.325,666_337.tsv
787,73854,5,-86.275,3,42.325,746_1034.tsv
789,73863,5,-119.725,3,45.875,817_365.tsv
793,73939,5,-71.025,3,41.675,733_1339.tsv
796,73961,5,-95.075,3,29.725,494_858.tsv
798,73982,5,-76.275,3,39.775,695_1234.tsv
802,74076,5,-81.975,3,40.075,701_1120.tsv
804,74097,5,-84.925,3,34.675,593_1061.tsv
807,74161,5,-94.675,3,32.425,548_866.tsv
811,74185,5,-81.275,3,32.275,545_1134.tsv
813,74208,5,-119.475,3,35.275,605_370.tsv
814,74237,5,-122.475,3,48.775,875_310.tsv
815,74293,5,-71.475,3,41.775,735_1330.tsv
818,74307,5,-74.775,3,40.125,702_1264.tsv
819,74339,5,-79.925,3,39.875,697_1161.tsv
821,74365,5,-93.775,3,35.425,608_884.tsv
822,74408,5,-70.925,3,42.275,745_1341.tsv
823,74413,5,-96.475,3,32.775,555_830.tsv
825,74428,5,-73.775,3,42.525,750_1284.tsv
826,74466,5,-122.225,3,47.075,841_315.tsv
827,74474,5,-83.125,3,41.325,726_1097.tsv
829,74479,5,-120.125,3,36.575,631_357.tsv
831,74507,5,-86.525,3,32.325,546_1029.tsv
833,74510,5,-85.075,3,32.625,552_1058.tsv
835,74618,5,-115.275,3,42.975,759_454.tsv
836,74630,5,-117.075,3,33.125,562_418.tsv
841,74698,5,-123.475,3,46.975,839_290.tsv
842,74708,5,-93.525,3,41.575,731_889.tsv
