years,place,lat,lon,cooling
,1825,41.575,-109.475,2
,1826,33.325,-111.775,5
,1827,39.375,-111.075,2
,1828,46.175,-123.175,5
,1830,38.975,-82.075,2
,1831,38.675,-104.725,2
,1832,47.525,-101.775,2
,1833,34.325,-109.175,2
,1834,40.875,-117.125,2
,1835,40.525,-79.825,1
,1838,37.525,-77.425,5
,1870,44.525,-70.525,6
,1871,39.675,-104.975,5
,1874,36.975,-121.525,5
,1875,39.775,-75.475,2
,1877,39.725,-75.525,5
,1878,40.575,-78.825,2
,1880,33.925,-118.425,5
,1884,36.225,-121.125,5
,1886,42.075,-71.475,5
,1887,40.475,-74.375,5
,1891,37.975,-121.975,5
,1892,39.025,-121.725,5
,1895,37.325,-77.175,2
,1896,33.925,-77.975,2
,1897,36.425,-78.975,2
,1898,35.975,-77.725,2
,1904,44.525,-70.575,2
,1906,28.675,-96.575,5
,1907,39.625,-75.525,2
,1909,43.875,-75.475,5
,1910,43.075,-76.225,5
,1911,37.325,-77.225,5
,1914,35.175,-94.625,2
,1915,30.425,-81.625,2
,1920,39.575,-78.725,2
,1924,42.475,-73.775,5
,1925,42.175,-72.525,5
,1926,29.625,-95.075,5
,1927,39.625,-79.975,1
,1928,43.575,-84.175,5
,1929,39.925,-75.125,5
,1930,39.525,-107.725,5
,1931,30.075,-93.725,5
,1936,41.975,-91.675,2
,1937,39.875,-88.875,2
,1939,39.825,-88.925,2
,1940,42.425,-73.225,5
,1941,40.625,-74.225,5
,1945,29.675,-95.025,5
,1946,39.775,-75.425,5
,1947,33.725,-95.575,5
,1948,30.275,-97.725,5
,1951,33.875,-98.575,5
,1956,29.925,-90.375,5
,1957,29.425,-94.825,5
,1959,35.875,-76.775,1
,1960,43.075,-79.025,2
,1961,33.825,-118.225,5
,1968,40.725,-74.125,5
,1970,32.075,-81.075,2
,1970,32.075,-81.075,2
,1971,30.725,-88.025,1
,1971,30.725,-88.025,1
,1973,43.225,-73.775,5
,1978,30.225,-93.275,5
,1979,39.775,-80.875,1
,1980,40.625,-74.125,5
,1983,36.475,-77.675,5
,1984,35.425,-97.625,5
,1985,39.875,-75.175,5
,1987,30.075,-94.075,5
,1989,40.375,-104.675,5
,1990,40.075,-104.825,5
,1996,43.075,-75.625,5
,1998,40.875,-75.875,2
,2000,40.475,-74.325,5
,2002,34.125,-79.525,2
,2004,29.775,-95.075,5
,2007,40.875,-74.125,5
,2009,27.625,-81.975,5
,2011,38.925,-92.325,5
,2012,29.825,-93.975,5
,2013,41.225,-79.775,2
,2014,27.025,-80.525,2
,2015,43.075,-76.075,5
,2019,30.275,-91.175,5
,2020,36.625,-78.525,2
,2021,37.775,-77.425,5
,2024,29.375,-94.725,5
,2026,28.975,-95.375,5
,2030,29.375,-94.775,5
,2035,32.275,-101.425,5
,2036,39.575,-75.525,1
,2039,42.625,-73.775,5
,2040,36.425,-77.625,2
,2041,37.475,-77.425,2
,2044,40.625,-73.775,5
,2046,37.925,-121.325,1
,2048,48.475,-122.575,5
,2049,36.025,-115.025,5
,2050,38.225,-77.275,2
,2053,36.225,-114.875,5
,2054,36.325,-114.925,5
,2055,27.875,-81.825,5
,2056,28.925,-81.675,5
,2057,28.375,-82.175,5
,2059,27.825,-81.875,5
,2062,48.975,-122.275,5
,2064,48.825,-122.675,5
,2066,43.475,-76.425,5
,2070,44.725,-73.475,5
,2071,42.625,-71.325,5
,2072,44.975,-74.875,5
,2073,42.975,-78.175,5
,2074,35.575,-119.025,2
,2076,40.075,-74.125,5
,2078,28.075,-81.825,5
,2080,28.925,-95.375,5
,2081,36.375,-77.575,2
,2082,45.925,-119.375,5
,2083,40.025,-75.225,5
,2084,42.175,-71.525,5
,2085,32.425,-97.425,5
,2086,38.675,-76.875,5
,2087,38.125,-78.225,5
,2088,37.975,-122.075,5
,2089,40.675,-73.925,5
,2090,43.975,-86.475,5
,2092,44.825,-92.925,5
,2093,42.875,-88.725,5
,2095,41.825,-71.125,5
,2099,32.475,-83.625,5
,2100,42.025,-72.675,5
,2101,41.175,-73.125,5
,2102,35.075,-81.575,5
,2103,29.725,-95.125,5
,2104,41.625,-71.175,6
,2107,30.575,-95.925,5
,2108,34.325,-89.925,5
