,place,lon,lat,cooling,fuel,state,f,c,idc
799,74066,-81.475,40.525,1,2,OH,Coal,ST-OT,3
800,74075,-88.275,41.375,2,4,IL,Nuclear,ST-RC,3
801,74076,-81.975,40.075,5,3,OH,Gas,CC-RC,3
805,74134,-97.025,37.225,2,5,KS,Oil,ST-RC,3
812,74208,-119.475,35.275,5,3,CA,Gas,CC-RC,3
815,74298,-97.175,40.175,1,5,NE,Oil,ST-OT,3
817,74307,-74.775,40.125,5,3,PA,Gas,CC-RC,3
818,74339,-79.925,39.875,5,3,PA,Gas,CC-RC,3
819,74349,-83.175,41.975,2,4,MI,Nuclear,ST-RC,3
826,74474,-83.125,41.325,5,3,OH,Gas,CC-RC,3
828,74479,-120.125,36.575,5,3,CA,Gas,CC-RC,3
838,74690,-80.075,39.525,2,2,WV,Coal,ST-RC,3
844,74800,-82.775,38.575,5,3,OH,Gas,CC-RC,3
857,74984,-75.525,39.475,2,4,NJ,Nuclear,ST-RC,3
860,75003,-122.275,40.475,2,1,CA,Bio-power,ST-RC,3
861,75004,-73.975,40.675,2,5,NY,Oil,ST-RC,3
870,75075,-73.975,41.275,1,4,NY,Nuclear,ST-OT,3
871,75088,-117.175,33.725,5,3,CA,Gas,CC-RC,3
881,75164,-121.925,37.375,5,3,CA,Gas,CC-RC,3
883,75180,-76.225,40.775,2,2,PA,Coal,ST-RC,3
888,75260,-74.275,40.675,5,3,NJ,Gas,CC-RC,3
891,75325,-119.575,36.575,5,3,CA,Gas,CC-RC,3
893,75378,-88.675,41.325,2,4,IL,Nuclear,ST-RC,3
900,75568,-121.975,37.425,5,3,CA,Gas,CC-RC,3
908,75722,-93.225,39.125,2,5,MO,Oil,ST-RC,3
909,75722,-93.225,39.125,2,2,MO,Coal,ST-RC,3
917,75856,-73.125,41.225,5,3,CT,Gas,CC-RC,3
920,75882,-80.625,40.325,2,5,OH,Oil,ST-RC,3
923,75937,-117.725,35.025,5,3,CA,Gas,CC-RC,3
926,75997,-76.425,40.825,2,2,PA,Coal,ST-RC,3
929,76096,-117.125,32.675,5,3,CA,Gas,CC-RC,3
931,76098,-117.125,32.625,5,3,CA,Gas,CC-RC,3
942,76243,-75.475,40.675,2,2,PA,Coal,ST-RC,3
945,76270,-117.675,33.975,5,3,CA,Gas,CC-RC,3
949,76339,-75.925,40.375,5,3,PA,Gas,CC-RC,3
951,76374,-116.975,32.575,5,3,CA,Gas,CC-RC,3
953,76418,-84.825,39.075,5,3,IN,Gas,CC-RC,3
954,76420,-81.725,39.575,5,3,OH,Gas,CC-RC,3
959,76489,-118.825,34.975,5,3,CA,Gas,CC-RC,3
961,76541,-81.125,41.825,2,4,OH,Nuclear,ST-RC,3
962,76542,-86.175,39.775,2,2,IN,Coal,ST-RC,3
963,76542,-86.175,39.775,2,5,IN,Oil,ST-RC,3
971,76664,-97.025,36.675,5,3,OK,Gas,CC-RC,3
978,76734,-98.725,37.625,2,5,KS,Oil,ST-RC,3
985,76838,-74.375,40.425,5,3,NJ,Gas,CC-RC,3
987,76842,-122.325,40.525,4,3,CA,Gas,CC-OT,3
992,76899,-119.475,36.725,2,1,CA,Bio-power,ST-RC,3
993,76901,-119.075,35.775,2,2,CA,Coal,ST-RC,3
994,76903,-121.325,38.825,2,1,CA,Bio-power,ST-RC,3
1000,76997,-76.525,40.025,5,3,PA,Gas,CC-RC,3
1004,77043,-121.725,38.725,2,1,CA,Bio-power,ST-RC,3
1005,77045,-121.025,37.625,5,3,CA,Gas,CC-RC,3
1006,77052,-95.725,38.175,2,4,KS,Nuclear,ST-RC,3
