,place,lat,lon,dischargefile,cooling,fuel
503,2145,41.875,-71.925,737_1321.tsv,6,3
504,2147,35.275,-119.575,605_368.tsv,5,3
505,2148,29.525,-97.925,490_801.tsv,5,3
506,2149,30.175,-97.275,503_814.tsv,5,3
507,2152,31.825,-97.325,536_813.tsv,5,3
508,2153,30.425,-92.425,508_911.tsv,5,3
509,2154,34.825,-114.575,596_468.tsv,5,3
510,2155,38.775,-94.275,675_874.tsv,5,3
511,2156,47.775,-116.925,855_421.tsv,5,3
512,2158,35.225,-119.575,604_368.tsv,5,3
513,2159,29.825,-95.075,496_858.tsv,5,3
514,2160,41.725,-90.275,734_954.tsv,5,3
515,2166,27.825,-97.425,456_811.tsv,5,3
516,2167,40.225,-103.625,704_687.tsv,5,3
517,2168,42.075,-71.525,741_1329.tsv,6,3
518,2169,41.425,-88.325,728_993.tsv,5,3
519,2170,38.075,-121.875,661_322.tsv,5,3
520,2171,32.375,-90.225,547_955.tsv,5,3
521,2173,33.025,-89.875,560_962.tsv,5,3
522,2174,34.575,-92.175,591_916.tsv,5,3
523,2176,32.325,-96.675,546_826.tsv,5,3
524,2178,36.025,-95.725,620_845.tsv,5,3
525,2179,31.875,-96.125,537_837.tsv,5,3
526,2187,30.775,-88.025,515_999.tsv,5,3
527,2193,41.725,-87.475,734_1010.tsv,5,3
528,2200,34.625,-87.025,592_1019.tsv,5,3
529,2201,43.675,-70.375,773_1352.tsv,5,3
530,2203,29.725,-95.175,494_856.tsv,5,3
531,2207,27.875,-97.225,457_815.tsv,5,3
532,2210,39.875,-75.325,697_1253.tsv,5,3
533,2211,45.925,-119.325,818_373.tsv,5,3
534,2212,38.075,-121.825,661_323.tsv,5,3
535,2213,39.225,-88.825,684_983.tsv,5,3
536,2214,39.375,-87.525,687_1009.tsv,5,3
537,2220,34.275,-92.925,585_901.tsv,5,3
538,2222,35.275,-97.575,605_808.tsv,5,3
539,2223,32.825,-92.075,556_918.tsv,5,3
540,2228,26.325,-98.175,426_796.tsv,5,3
541,2229,32.725,-92.025,554_919.tsv,5,3
542,2238,42.025,-71.575,740_1328.tsv,5,3
543,2239,42.075,-71.625,741_1327.tsv,5,3
544,2240,30.975,-87.975,519_1000.tsv,5,3
546,2241,27.625,-81.925,452_1121.tsv,5,3
563,2260,30.225,-97.625,504_807.tsv,5,3
567,2264,33.425,-112.175,568_516.tsv,5,3
576,2272,33.375,-111.925,567_521.tsv,5,3
578,2273,32.075,-109.875,541_562.tsv,5,3
586,2305,34.075,-117.275,581_414.tsv,5,3
587,2306,34.125,-118.275,582_394.tsv,5,3
590,2308,32.775,-115.525,555_449.tsv,5,3
593,2315,39.825,-104.925,696_661.tsv,5,3
604,2328,28.475,-81.175,469_1136.tsv,5,3
611,2340,26.675,-81.825,433_1123.tsv,4,3
612,2341,26.075,-80.225,421_1155.tsv,5,3
613,2344,28.825,-81.325,476_1133.tsv,5,3
615,2345,25.425,-80.325,408_1153.tsv,5,3
621,2353,30.275,-85.675,505_1046.tsv,5,3
624,2359,29.675,-82.325,493_1113.tsv,5,3
627,2363,26.625,-80.075,432_1158.tsv,5,3
628,2364,28.025,-81.925,460_1121.tsv,5,3
630,2365,28.075,-81.925,461_1121.tsv,5,3
633,2367,30.475,-84.425,509_1071.tsv,5,3
634,2368,30.125,-84.225,502_1075.tsv,4,3
644,2384,37.675,-89.525,653_969.tsv,4,3
667,2422,40.075,-85.975,701_1040.tsv,5,3
672,2426,35.075,-78.875,601_1182.tsv,5,3
680,2435,45.025,-93.275,800_894.tsv,4,3
687,2442,41.125,-94.375,722_872.tsv,5,3
704,2464,38.175,-85.875,663_1042.tsv,5,3
713,72745,42.875,-71.475,757_1330.tsv,5,3
714,72748,40.375,-76.375,707_1232.tsv,5,3
715,72749,32.325,-97.725,546_805.tsv,5,3
716,72752,42.125,-71.475,742_1330.tsv,6,3
717,72767,42.975,-85.475,759_1050.tsv,5,3
718,72775,32.125,-106.875,542_622.tsv,5,3
719,72779,37.425,-121.925,648_321.tsv,5,3
721,72783,41.925,-72.625,738_1307.tsv,5,3
724,72820,42.525,-78.075,750_1198.tsv,5,3
725,72826,36.425,-114.875,628_462.tsv,5,3
727,72914,36.425,-114.975,628_460.tsv,6,3
729,72931,33.325,-112.925,566_501.tsv,5,3
731,72951,40.775,-73.875,715_1282.tsv,6,3
732,72955,42.275,-73.825,745_1283.tsv,6,3
733,72973,32.375,-86.575,547_1028.tsv,5,3
735,73051,30.225,-97.525,504_809.tsv,5,3
736,73072,29.775,-94.825,495_863.tsv,5,3
740,73155,40.625,-75.325,712_1253.tsv,5,3
741,73184,35.625,-115.375,612_452.tsv,6,3
744,73256,33.625,-114.675,572_466.tsv,5,3
748,73311,30.325,-81.925,506_1121.tsv,5,3
749,73318,29.475,-95.575,489_848.tsv,5,3
755,73447,38.975,-78.125,679_1197.tsv,5,3
757,73473,33.575,-88.325,571_993.tsv,5,3
761,73503,28.275,-81.525,465_1129.tsv,5,3
762,73511,41.775,-72.675,735_1306.tsv,5,3
764,73532,33.875,-118.175,577_396.tsv,5,3
765,73535,43.975,-75.625,779_1247.tsv,5,3
766,73538,30.225,-91.075,504_938.tsv,5,3
767,73583,28.425,-81.575,468_1128.tsv,5,3
768,73618,33.425,-84.975,568_1060.tsv,5,3
769,73622,46.625,-122.925,832_301.tsv,6,3
771,73667,33.375,-89.225,567_975.tsv,5,3
772,73669,36.225,-95.225,624_855.tsv,5,3
773,73701,42.725,-85.875,754_1042.tsv,5,3
781,73765,33.875,-80.975,577_1140.tsv,5,3
784,73776,44.275,-88.275,785_994.tsv,5,3
786,73844,38.325,-121.125,666_337.tsv,5,3
787,73854,42.325,-86.275,746_1034.tsv,5,3
789,73863,45.875,-119.725,817_365.tsv,5,3
793,73939,41.675,-71.025,733_1339.tsv,5,3
796,73961,29.725,-95.075,494_858.tsv,5,3
798,73982,39.775,-76.275,695_1234.tsv,5,3
802,74076,40.075,-81.975,701_1120.tsv,5,3
804,74097,34.675,-84.925,593_1061.tsv,5,3
807,74161,32.425,-94.675,548_866.tsv,5,3
811,74185,32.275,-81.275,545_1134.tsv,5,3
813,74208,35.275,-119.475,605_370.tsv,5,3
814,74237,48.775,-122.475,875_310.tsv,5,3
815,74293,41.775,-71.475,735_1330.tsv,5,3
818,74307,40.125,-74.775,702_1264.tsv,5,3
819,74339,39.875,-79.925,697_1161.tsv,5,3
821,74365,35.425,-93.775,608_884.tsv,5,3
822,74408,42.275,-70.925,745_1341.tsv,5,3
823,74413,32.775,-96.475,555_830.tsv,5,3
825,74428,42.525,-73.775,750_1284.tsv,5,3
826,74466,47.075,-122.225,841_315.tsv,5,3
827,74474,41.325,-83.125,726_1097.tsv,5,3
829,74479,36.575,-120.125,631_357.tsv,5,3
830,74486,38.625,-104.725,672_665.tsv,6,3
831,74507,32.325,-86.525,546_1029.tsv,5,3
833,74510,32.625,-85.075,552_1058.tsv,5,3
835,74618,42.975,-115.275,759_454.tsv,5,3
836,74630,33.125,-117.075,562_418.tsv,5,3
837,74637,45.825,-120.825,816_343.tsv,6,3
841,74698,46.975,-123.475,839_290.tsv,5,3
842,74708,41.575,-93.525,731_889.tsv,5,3
845,74800,38.575,-82.775,671_1104.tsv,5,3
846,74816,33.475,-113.125,569_497.tsv,5,3
848,74825,32.375,-94.425,547_871.tsv,5,3
854,74912,34.575,-117.325,591_413.tsv,5,3
855,74931,32.975,-85.875,559_1042.tsv,5,3
860,74993,34.375,-92.875,587_902.tsv,5,3
863,75016,41.225,-76.075,724_1238.tsv,4,3
864,75023,44.925,-94.375,798_872.tsv,5,3
865,75024,44.875,-94.325,797_873.tsv,5,3
867,75064,42.075,-78.475,741_1190.tsv,5,3
868,75065,43.475,-76.475,769_1230.tsv,5,3
870,75069,42.975,-78.925,759_1181.tsv,5,3
872,75088,33.725,-117.175,574_416.tsv,5,3
873,75123,33.575,-101.775,571_724.tsv,5,3
876,75131,33.125,-97.975,562_800.tsv,5,3
877,75132,33.825,-84.475,576_1070.tsv,5,3
878,75143,42.275,-84.375,745_1072.tsv,5,3
880,75155,32.325,-81.125,546_1137.tsv,5,3
882,75164,37.375,-121.925,647_321.tsv,5,3
883,75179,34.375,-82.825,587_1103.tsv,5,3
889,75260,40.675,-74.275,713_1274.tsv,5,3
891,75304,34.725,-95.925,594_841.tsv,5,3
892,75325,36.575,-119.575,631_368.tsv,5,3
895,75393,35.575,-89.475,611_970.tsv,5,3
897,75441,36.225,-115.125,624_457.tsv,5,3
899,75507,32.375,-86.725,547_1025.tsv,5,3
900,75538,43.175,-78.725,763_1185.tsv,5,3
901,75568,37.425,-121.975,648_320.tsv,5,3
902,75585,42.625,-71.375,752_1332.tsv,5,3
903,75599,40.825,-75.075,716_1258.tsv,5,3
904,75616,32.275,-107.775,545_604.tsv,5,3
907,75666,34.225,-118.325,584_393.tsv,5,3
908,75668,34.825,-89.175,596_976.tsv,5,3
915,75818,33.325,-112.875,566_502.tsv,5,3
917,75820,37.225,-121.725,644_325.tsv,5,3
918,75856,41.225,-73.125,724_1297.tsv,5,3
922,75890,46.125,-122.975,822_300.tsv,5,3
923,75909,36.375,-114.925,627_461.tsv,6,3
924,75937,35.025,-117.725,600_405.tsv,5,3
926,75977,34.675,-87.075,593_1018.tsv,5,3
930,76096,32.675,-117.125,553_417.tsv,5,3
931,76097,32.675,-117.175,553_416.tsv,5,3
932,76098,32.625,-117.125,552_417.tsv,5,3
936,76160,43.125,-70.825,762_1343.tsv,5,3
937,76169,30.275,-93.725,505_885.tsv,5,3
942,76240,36.425,-95.675,628_846.tsv,5,3
944,76252,33.925,-118.125,578_397.tsv,5,3
945,76269,34.175,-119.075,583_378.tsv,5,3
946,76270,33.975,-117.675,579_406.tsv,5,3
947,76302,31.825,-102.325,536_713.tsv,5,3
949,76321,31.275,-87.975,525_1000.tsv,5,3
950,76339,40.375,-75.925,707_1241.tsv,5,3
951,76368,28.025,-81.825,460_1123.tsv,5,3
952,76374,32.575,-116.975,551_420.tsv,5,3
953,76389,43.025,-78.875,760_1182.tsv,5,3
954,76418,39.075,-84.825,681_1063.tsv,5,3
955,76420,39.575,-81.725,691_1125.tsv,5,3
959,76451,32.975,-112.675,559_506.tsv,5,3
960,76489,34.975,-118.825,599_383.tsv,5,3
961,76499,41.875,-71.425,737_1331.tsv,5,3
970,76642,30.325,-91.225,506_935.tsv,5,3
973,76664,36.675,-97.025,633_819.tsv,5,3
974,76675,29.875,-93.875,497_882.tsv,5,3
977,76702,41.625,-87.175,732_1016.tsv,5,3
983,76798,30.175,-93.325,503_893.tsv,5,3
987,76838,40.425,-74.375,708_1272.tsv,5,3
988,76841,35.675,-97.225,613_815.tsv,5,3
989,76842,40.525,-122.325,710_313.tsv,4,3
990,76847,33.325,-112.825,566_503.tsv,5,3
991,76857,33.275,-89.425,565_971.tsv,6,3
992,76885,34.825,-79.925,596_1161.tsv,5,3
997,76912,45.625,-122.725,812_305.tsv,5,3
999,76922,42.575,-89.025,751_979.tsv,5,3
1000,76973,40.075,-104.625,701_667.tsv,5,3
1001,76989,32.725,-114.675,554_466.tsv,5,3
1002,76997,40.025,-76.525,700_1229.tsv,5,3
1007,77045,37.625,-121.025,652_339.tsv,5,3
1009,77057,33.075,-97.925,561_801.tsv,5,3
1013,77105,34.175,-90.575,583_948.tsv,5,3
1022,77269,39.575,-81.675,691_1126.tsv,5,3
1023,77295,33.375,-85.025,567_1059.tsv,5,3
1024,77296,33.325,-85.075,566_1058.tsv,5,3
1031,77489,33.325,-92.525,566_909.tsv,5,3
1035,77569,40.725,-73.575,714_1288.tsv,5,3
1037,77580,37.675,-121.525,653_329.tsv,5,3
1039,77622,27.725,-81.825,454_1123.tsv,5,3
1041,77648,30.475,-88.175,509_996.tsv,5,3
1042,77670,37.725,-78.425,654_1191.tsv,5,3
1043,77674,32.125,-94.175,542_876.tsv,5,3
1044,77675,32.325,-86.775,546_1024.tsv,5,3
1046,77709,29.975,-90.425,499_951.tsv,5,3
1053,77879,36.575,-90.175,631_956.tsv,5,3
1054,77934,34.975,-90.025,599_959.tsv,5,3
1058,78044,36.425,-114.925,628_461.tsv,6,3
1059,78045,42.625,-78.075,752_1198.tsv,5,3
1061,78060,25.875,-97.525,417_809.tsv,5,3
1066,78177,30.575,-87.125,511_1017.tsv,5,3
1068,78220,28.875,-97.125,477_817.tsv,4,3
1069,78230,40.875,-96.575,717_828.tsv,5,3
1072,78306,42.575,-113.625,751_487.tsv,5,3
1073,78314,35.775,-80.525,615_1149.tsv,5,3
1074,385508,40.575,-79.775,711_1164.tsv,5,3
1075,385530,38.425,-121.525,668_329.tsv,5,3
1078,404924,42.575,-73.775,751_1284.tsv,5,3
1079,405319,37.625,-122.075,652_318.tsv,5,3
1080,587518,44.325,-93.325,786_893.tsv,5,3
1081,587560,37.375,-121.975,647_320.tsv,5,3
1082,587567,33.975,-118.175,579_396.tsv,5,3
1083,587571,46.175,-123.125,823_297.tsv,5,3
1084,587613,40.325,-96.825,706_823.tsv,5,3
1085,587650,43.125,-93.325,762_893.tsv,5,3
1086,587651,41.825,-89.625,736_967.tsv,5,3
1087,587704,37.475,-120.925,649_341.tsv,5,3
1089,587756,42.675,-73.725,753_1285.tsv,5,3
1090,587788,28.975,-95.425,479_851.tsv,5,3
1091,587800,43.075,-89.425,761_971.tsv,5,3
1092,587835,33.875,-117.625,577_407.tsv,5,3
1093,587898,29.325,-94.725,486_865.tsv,5,3
1094,587938,44.325,-88.175,786_996.tsv,5,3
1097,587994,36.675,-108.225,633_595.tsv,5,3
1098,587996,35.875,-89.725,617_965.tsv,5,3
1099,588007,32.425,-81.175,548_1136.tsv,5,3
1101,588012,40.075,-111.725,701_525.tsv,5,3
1104,588110,37.725,-78.325,654_1193.tsv,5,3
1106,588165,41.575,-72.625,731_1307.tsv,5,3
1108,593927,41.925,-80.825,738_1143.tsv,5,3
1110,606380,39.825,-111.875,696_522.tsv,6,3
1111,606975,31.375,-86.525,527_1029.tsv,5,3
1112,607160,33.125,-117.125,562_417.tsv,5,3
1118,613326,44.175,-94.025,783_879.tsv,5,3
1121,626314,40.725,-73.475,714_1290.tsv,5,3
1122,632007,40.325,-111.775,706_524.tsv,5,3
1123,632045,40.725,-73.375,714_1292.tsv,5,3
1124,632047,40.825,-72.925,716_1301.tsv,5,3
1125,632209,38.775,-121.375,675_332.tsv,5,3
1128,732864,36.675,-119.525,633_369.tsv,5,3
1129,732898,26.675,-80.375,433_1152.tsv,5,3
1133,748853,27.375,-80.375,447_1152.tsv,5,3
1138,841085,31.825,-102.275,536_714.tsv,5,3
1139,849342,29.225,-96.075,484_838.tsv,5,3
1141,856045,39.375,-122.175,687_316.tsv,5,3
1142,871146,32.725,-100.925,554_741.tsv,5,3
1145,875399,38.625,-90.175,672_956.tsv,5,3
1146,883352,32.775,-103.325,555_693.tsv,6,3
1148,884383,38.075,-121.775,661_324.tsv,5,3
1150,891963,38.075,-121.525,661_329.tsv,5,3
1154,922140,44.425,-96.675,788_826.tsv,5,3
1155,1123030,31.125,-97.325,522_813.tsv,5,3
1156,1124417,39.875,-75.225,697_1255.tsv,5,3
1158,1133698,33.775,-96.525,575_829.tsv,5,3
1163,1168279,43.925,-116.975,778_420.tsv,5,3
1167,1196724,38.325,-104.525,666_669.tsv,5,3
1170,1502940,40.675,-74.125,713_1277.tsv,5,3
1171,1503622,40.475,-74.425,709_1271.tsv,5,3
1172,1573104,41.125,-104.725,722_665.tsv,5,3
1176,1648419,39.075,-75.425,681_1251.tsv,5,3
1180,1995460,42.675,-84.525,753_1069.tsv,5,3
