,place,lat,lon,cooling
925,75962,45.325,-93.875,2
927,75997,40.825,-76.425,2
928,76008,40.275,-121.025,2
929,76017,37.125,-79.325,2
934,76147,44.325,-94.475,2
938,76186,43.525,-76.425,2
939,76239,43.675,-92.975,2
940,76240,36.425,-95.675,2
941,76240,36.425,-95.675,2
943,76243,40.675,-75.475,2
948,76312,26.575,-80.775,2
956,76426,39.475,-121.575,2
957,76440,42.325,-86.325,2
958,76444,33.375,-112.825,2
963,76541,41.825,-81.125,2
964,76542,39.775,-86.175,2
965,76542,39.775,-86.175,2
966,76598,42.575,-71.875,2
967,76599,44.325,-71.725,2
968,76600,43.775,-71.175,2
969,76629,31.875,-83.925,2
971,76650,47.325,-116.875,2
972,76663,36.625,-97.025,2
975,76681,30.625,-91.275,2
976,76681,30.625,-91.275,2
979,76732,38.275,-89.675,2
980,76734,37.625,-98.725,2
982,76790,37.625,-87.475,2
984,76800,34.975,-83.375,2
986,76820,47.175,-93.475,2
993,76886,28.025,-81.875,2
994,76899,36.725,-119.475,2
995,76901,35.775,-119.075,2
996,76903,38.825,-121.325,2
998,76915,30.725,-91.425,2
1004,77005,32.925,-90.375,2
1005,77030,44.675,-67.975,2
1006,77043,38.725,-121.725,2
1008,77052,38.175,-95.725,2
1010,77093,45.175,-95.025,2
1011,77093,45.175,-95.025,2
1012,77105,34.175,-90.575,2
1014,77131,46.775,-89.575,2
1015,77131,46.775,-89.575,2
1016,77141,40.775,-76.175,2
1017,77144,44.075,-122.975,2
1018,77148,40.625,-76.375,2
1019,77218,37.275,-97.425,2
1020,77243,35.625,-84.775,2
1027,77331,46.475,-119.275,2
1028,77351,33.175,-81.775,2
1029,77364,44.225,-85.225,2
1030,77365,44.675,-83.425,2
1032,77503,37.875,-120.475,2
1033,77504,40.875,-123.975,2
1034,77565,37.175,-104.525,2
1036,77570,39.775,-105.175,2
1038,77581,37.725,-121.525,2
1040,77627,40.175,-76.725,2
1045,77698,44.975,-116.275,2
1047,77747,41.075,-76.125,2
1049,77757,39.525,-110.425,2
1050,77769,34.275,-81.325,2
1051,77820,31.775,-94.925,2
1052,77860,40.825,-76.175,2
1055,77935,36.675,-77.025,2
1056,77938,28.825,-96.025,2
1060,78060,25.875,-97.525,2
1062,78103,40.425,-122.175,2
1063,78118,35.275,-85.075,2
1064,78151,39.975,-75.175,2
1065,78169,41.525,-84.275,2
1070,78246,39.425,-75.525,2
1071,78293,44.225,-72.075,2
1076,385617,46.275,-96.025,2
1077,385643,30.475,-91.175,2
1088,587724,44.825,-93.525,2
1096,587988,45.775,-107.575,2
1100,588008,38.275,-120.925,2
1102,588046,39.725,-79.925,2
1103,588093,45.325,-95.625,2
1105,588164,34.125,-109.275,2
1107,588238,35.675,-89.925,2
1109,594170,38.975,-76.925,2
1113,607176,38.425,-78.825,2
1114,607274,34.475,-91.525,2
1116,609597,44.925,-93.175,2
1117,613310,36.875,-82.325,2
1119,613335,31.475,-96.975,2
1120,613373,40.675,-116.525,2
1126,650972,42.875,-87.875,2
1130,735714,44.425,-105.475,2
1131,737634,34.525,-110.075,2
1132,746556,40.725,-112.225,2
1134,751356,28.625,-96.575,2
1135,820019,31.175,-96.475,2
1136,826582,30.575,-97.075,2
1137,840309,44.275,-105.275,2
1140,850144,41.725,-71.925,2
1143,874697,33.625,-93.825,2
1144,875399,38.625,-90.175,2
1149,891923,44.475,-71.175,2
1151,911906,37.175,-120.475,2
1152,912854,31.425,-94.525,2
1153,913505,41.725,-83.425,2
1157,1127605,39.125,-94.575,2
1159,1134407,35.825,-115.425,2
1160,1143769,33.075,-84.125,2
1161,1144030,47.275,-122.425,2
1162,1161596,37.125,-120.275,2
1164,1173151,29.775,-82.375,2
1165,1181091,38.725,-90.225,2
1166,1181214,33.275,-81.675,2
1168,1319175,46.825,-101.725,2
1169,1358974,41.375,-97.275,2
1173,1574461,32.525,-82.875,2
1174,1584122,30.125,-90.925,2
1175,1585142,36.675,-78.875,2
1177,1651571,39.025,-76.975,2
1178,1680849,41.675,-87.475,2
1179,1744511,27.875,-82.075,2
1181,1997368,31.875,-93.175,2
