,Unnamed: 0,Unnamed: 0.1,place,cooling,lon,fuel,lat,state,dischargefile,f,c
183,183,323,1789,5,-81.975,2,27.725,FL,454_1120.tsv,Coal,CC-RC
184,184,328,1798,3,-105.375,2,44.275,WY,785_652.tsv,Coal,ST-DC
185,185,332,1808,2,-109.675,2,40.125,UT,702_566.tsv,Coal,ST-RC
186,186,333,1809,2,-94.475,2,32.475,TX,549_870.tsv,Coal,ST-RC
187,187,336,1817,2,-89.475,2,43.475,WI,769_970.tsv,Coal,ST-RC
188,188,340,1825,2,-109.475,2,41.575,WY,731_570.tsv,Coal,ST-RC
189,189,342,1827,2,-111.075,2,39.375,UT,687_538.tsv,Coal,ST-RC
190,190,344,1830,2,-82.075,2,38.975,OH,679_1118.tsv,Coal,ST-RC
191,191,345,1831,2,-104.725,2,38.675,CO,673_665.tsv,Coal,ST-RC
192,192,346,1832,2,-101.775,2,47.525,ND,850_724.tsv,Coal,ST-RC
193,193,347,1833,2,-109.175,2,34.325,AZ,586_576.tsv,Coal,ST-RC
194,194,348,1834,2,-117.125,2,40.875,NV,717_417.tsv,Coal,ST-RC
195,195,349,1835,1,-79.825,2,40.525,PA,710_1163.tsv,Coal,ST-OT
196,196,354,1875,2,-75.475,2,39.775,NJ,695_1250.tsv,Coal,ST-RC
197,197,356,1878,2,-78.825,2,40.575,PA,711_1183.tsv,Coal,ST-RC
198,198,363,1895,2,-77.175,2,37.325,VA,646_1216.tsv,Coal,ST-RC
199,199,366,1898,2,-77.725,2,35.975,NC,619_1205.tsv,Coal,ST-RC
200,200,369,1907,2,-75.525,2,39.625,NJ,692_1249.tsv,Coal,ST-RC
201,201,373,1914,2,-94.625,2,35.175,OK,603_867.tsv,Coal,ST-RC
202,202,374,1915,2,-81.625,2,30.425,FL,508_1127.tsv,Coal,ST-RC
203,203,375,1920,2,-78.725,2,39.575,MD,691_1185.tsv,Coal,ST-RC
204,204,379,1927,1,-79.975,2,39.625,WV,692_1160.tsv,Coal,ST-OT
205,205,384,1936,2,-91.675,2,41.975,IA,739_926.tsv,Coal,ST-RC
206,206,385,1937,2,-88.875,2,39.875,IL,697_982.tsv,Coal,ST-RC
207,207,386,1939,2,-88.925,2,39.825,IL,696_981.tsv,Coal,ST-RC
208,208,401,1970,2,-81.075,2,32.075,GA,541_1138.tsv,Coal,ST-RC
209,209,402,1971,1,-88.025,2,30.725,AL,514_999.tsv,Coal,ST-OT
210,210,406,1979,1,-80.875,2,39.775,WV,695_1142.tsv,Coal,ST-OT
211,211,415,1998,2,-75.875,2,40.875,PA,717_1242.tsv,Coal,ST-RC
212,212,423,2013,2,-79.775,2,41.225,PA,724_1164.tsv,Coal,ST-RC
213,213,424,2014,2,-80.525,2,27.025,FL,440_1149.tsv,Coal,ST-RC
214,214,427,2020,2,-78.525,2,36.625,VA,632_1189.tsv,Coal,ST-RC
215,215,435,2040,2,-77.625,2,36.425,NC,628_1207.tsv,Coal,ST-RC
216,216,436,2041,2,-77.425,2,37.475,VA,649_1211.tsv,Coal,ST-RC
217,217,441,2050,2,-77.275,2,38.225,VA,664_1214.tsv,Coal,ST-RC
218,218,459,2081,2,-77.575,2,36.375,NC,627_1208.tsv,Coal,ST-RC
219,219,483,2113,2,-89.275,2,33.375,MS,567_974.tsv,Coal,ST-RC
220,220,545,2240,1,-87.975,2,30.975,AL,519_1000.tsv,Coal,ST-OT
221,221,547,2242,1,-85.975,2,33.975,AL,579_1040.tsv,Coal,ST-OT
222,222,549,2243,1,-87.175,2,33.625,AL,572_1016.tsv,Coal,ST-OT
223,223,550,2243,2,-87.175,2,33.625,AL,572_1016.tsv,Coal,ST-RC
224,224,551,2244,1,-87.775,2,32.575,AL,551_1004.tsv,Coal,ST-OT
225,225,553,2245,2,-86.475,2,33.225,AL,564_1030.tsv,Coal,ST-RC
226,226,554,2245,1,-86.475,2,33.225,AL,564_1030.tsv,Coal,ST-OT
227,227,555,2246,1,-87.825,2,34.775,AL,595_1003.tsv,Coal,ST-OT
228,228,556,2248,2,-93.575,2,32.025,LA,540_888.tsv,Coal,ST-RC
229,229,557,2250,1,-87.925,2,31.475,AL,529_1001.tsv,Coal,ST-OT
230,230,558,2250,2,-87.925,2,31.475,AL,529_1001.tsv,Coal,ST-RC
231,231,559,2251,2,-98.375,2,40.825,NE,716_792.tsv,Coal,ST-RC
232,232,560,2252,2,-98.325,2,40.575,NE,711_793.tsv,Coal,ST-RC
233,233,561,2253,2,-108.075,2,35.425,NM,608_598.tsv,Coal,ST-RC
234,234,564,2261,2,-100.975,2,37.975,KS,659_740.tsv,Coal,ST-RC
235,235,565,2262,2,-110.275,2,34.925,AZ,598_554.tsv,Coal,ST-RC
236,236,569,2267,2,-110.925,2,32.175,AZ,543_541.tsv,Coal,ST-RC
237,237,571,2268,2,-99.175,2,34.075,TX,581_776.tsv,Coal,ST-RC
238,238,572,2269,2,-80.125,2,33.375,SC,567_1157.tsv,Coal,ST-RC
239,239,573,2270,2,-81.575,2,29.775,FL,495_1128.tsv,Coal,ST-RC
240,240,577,2273,2,-109.875,2,32.075,AZ,541_562.tsv,Coal,ST-RC
241,241,579,2274,2,-95.275,2,36.175,OK,623_854.tsv,Coal,ST-RC
242,242,583,2281,2,-81.525,2,30.375,FL,507_1129.tsv,Coal,ST-RC
243,243,584,2289,2,-96.275,2,31.425,TX,528_834.tsv,Coal,ST-RC
244,244,588,2307,2,-88.175,2,41.475,IL,729_996.tsv,Coal,ST-RC
245,245,592,2315,2,-104.925,2,39.825,CO,696_661.tsv,Coal,ST-RC
246,246,594,2316,2,-104.575,2,38.275,CO,665_668.tsv,Coal,ST-RC
247,247,595,2317,2,-105.225,2,40.025,CO,700_655.tsv,Coal,ST-RC
248,248,597,2319,2,-104.825,2,38.825,CO,676_663.tsv,Coal,ST-RC
249,249,599,2321,2,-107.175,2,40.525,CO,710_616.tsv,Coal,ST-RC
250,250,600,2322,2,-108.525,2,38.225,CO,664_589.tsv,Coal,ST-RC
251,251,605,2328,2,-81.175,2,28.475,FL,469_1136.tsv,Coal,ST-RC
252,252,608,2333,2,-75.225,2,38.575,DE,671_1255.tsv,Coal,ST-RC
253,253,610,2335,2,-76.475,2,39.175,MD,683_1230.tsv,Coal,ST-RC
254,254,617,2346,2,-82.725,2,28.925,FL,478_1105.tsv,Coal,ST-RC
255,255,619,2351,2,-87.225,2,30.575,FL,511_1015.tsv,Coal,ST-RC
256,256,620,2351,1,-87.225,2,30.575,FL,511_1015.tsv,Coal,ST-OT
257,257,623,2358,2,-82.425,2,29.775,FL,495_1111.tsv,Coal,ST-RC
258,258,626,2361,1,-81.425,2,30.375,FL,507_1131.tsv,Coal,ST-OT
259,259,631,2365,2,-81.925,2,28.075,FL,461_1121.tsv,Coal,ST-RC
260,260,635,2371,2,-84.925,2,34.175,GA,583_1061.tsv,Coal,ST-RC
261,261,636,2372,2,-85.375,2,34.225,GA,584_1052.tsv,Coal,ST-RC
262,262,637,2372,1,-85.375,2,34.225,GA,584_1052.tsv,Coal,ST-OT
263,263,638,2375,1,-84.175,2,31.425,GA,528_1076.tsv,Coal,ST-OT
264,264,639,2376,2,-84.875,2,33.475,GA,569_1062.tsv,Coal,ST-RC
265,265,641,2378,1,-90.475,2,41.525,IA,730_950.tsv,Coal,ST-OT
266,266,642,2382,1,-89.675,2,40.575,IL,711_966.tsv,Coal,ST-OT
267,267,643,2383,2,-89.425,2,39.075,IL,681_971.tsv,Coal,ST-RC
268,268,645,2390,1,-88.125,2,41.525,IL,730_997.tsv,Coal,ST-OT
269,269,646,2391,2,-89.425,2,39.625,IL,692_971.tsv,Coal,ST-RC
270,270,647,2393,2,-89.725,2,40.575,IL,711_965.tsv,Coal,ST-RC
271,271,648,2396,1,-88.075,2,41.625,IL,732_998.tsv,Coal,ST-OT
272,272,649,2398,1,-88.875,2,37.225,IL,644_982.tsv,Coal,ST-OT
273,273,650,2399,2,-89.875,2,38.225,IL,664_962.tsv,Coal,ST-RC
274,274,651,2400,2,-90.125,2,40.275,IL,705_957.tsv,Coal,ST-RC
275,275,652,2401,1,-89.325,2,41.275,IL,725_973.tsv,Coal,ST-OT
276,276,653,2405,1,-90.125,2,38.825,IL,676_957.tsv,Coal,ST-OT
277,277,654,2407,2,-89.575,2,39.725,IL,694_968.tsv,Coal,ST-RC
278,278,655,2409,2,-88.975,2,37.625,IL,652_980.tsv,Coal,ST-RC
279,279,656,2411,1,-85.425,2,38.725,IN,674_1051.tsv,Coal,ST-OT
280,280,657,2414,1,-86.175,2,39.725,IN,694_1036.tsv,Coal,ST-OT
281,281,658,2414,2,-86.175,2,39.725,IN,694_1036.tsv,Coal,ST-RC
282,282,660,2415,2,-86.425,2,39.475,IN,689_1031.tsv,Coal,ST-RC
283,283,661,2416,1,-87.275,2,38.525,IN,670_1014.tsv,Coal,ST-OT
284,284,662,2416,2,-87.275,2,38.525,IN,670_1014.tsv,Coal,ST-RC
285,285,663,2417,2,-87.125,2,41.675,IN,733_1017.tsv,Coal,ST-RC
286,286,664,2419,2,-86.925,2,41.725,IN,734_1021.tsv,Coal,ST-RC
287,287,665,2420,1,-87.425,2,39.925,IN,698_1011.tsv,Coal,ST-OT
288,288,666,2421,4,-87.225,2,38.775,IN,675_1015.tsv,Coal,CC-OT
289,289,668,2423,1,-85.825,2,38.275,IN,665_1043.tsv,Coal,ST-OT
290,290,669,2424,5,-87.425,2,39.525,IN,690_1011.tsv,Coal,CC-RC
291,291,670,2424,1,-87.425,2,39.525,IN,690_1011.tsv,Coal,ST-OT
292,292,671,2425,1,-87.325,2,37.875,IN,657_1013.tsv,Coal,ST-OT
293,293,673,2427,2,-84.925,2,39.775,IN,695_1061.tsv,Coal,ST-RC
294,294,674,2429,1,-90.625,2,42.525,IA,750_947.tsv,Coal,ST-OT
295,295,676,2430,1,-91.175,2,43.325,IA,766_936.tsv,Coal,ST-OT
296,296,678,2433,1,-91.625,2,41.975,IA,739_927.tsv,Coal,ST-OT
297,297,681,2436,2,-95.875,2,41.175,IA,723_842.tsv,Coal,ST-RC
298,298,682,2436,1,-95.875,2,41.175,IA,723_842.tsv,Coal,ST-OT
299,299,683,2437,1,-96.375,2,42.325,IA,746_832.tsv,Coal,ST-OT
300,300,684,2438,1,-91.125,2,40.775,IA,715_937.tsv,Coal,ST-OT
301,301,685,2439,2,-93.575,2,42.025,IA,740_888.tsv,Coal,ST-RC
302,302,686,2440,1,-92.425,2,42.525,IA,750_911.tsv,Coal,ST-OT
303,303,692,2449,2,-94.675,2,38.375,KS,667_866.tsv,Coal,ST-RC
304,304,695,2453,2,-95.275,2,39.025,KS,680_854.tsv,Coal,ST-RC
305,305,696,2454,2,-95.575,2,39.075,KS,681_848.tsv,Coal,ST-RC
306,306,699,2457,1,-94.625,2,39.125,KS,682_867.tsv,Coal,ST-OT
307,307,701,2459,2,-82.625,2,38.125,KY,662_1107.tsv,Coal,ST-RC
308,308,702,2460,2,-84.725,2,37.775,KY,655_1065.tsv,Coal,ST-RC
309,309,703,2461,2,-85.025,2,38.775,KY,675_1059.tsv,Coal,ST-RC
310,310,705,2465,2,-85.925,2,38.075,KY,661_1041.tsv,Coal,ST-RC
311,311,706,2466,1,-87.075,2,37.825,KY,656_1018.tsv,Coal,ST-OT
312,312,707,2467,2,-86.975,2,37.275,KY,645_1020.tsv,Coal,ST-RC
313,313,708,2468,1,-88.775,2,37.175,KY,643_984.tsv,Coal,ST-OT
314,314,709,2469,2,-86.775,2,37.925,KY,658_1024.tsv,Coal,ST-RC
315,315,760,73488,2,-78.725,2,40.475,PA,709_1185.tsv,Coal,ST-RC
316,316,770,73636,2,-75.375,2,39.825,PA,696_1252.tsv,Coal,ST-RC
317,317,775,73716,2,-90.175,2,41.825,IA,736_956.tsv,Coal,ST-RC
