,place,lon,lat,cooling,fuel,state,f,c,idc
515,2167,-103.625,40.225,5,3,CO,Gas,CC-RC,1
517,2169,-88.325,41.425,5,3,IL,Gas,CC-RC,1
526,2193,-87.475,41.725,5,3,IN,Gas,CC-RC,1
528,2201,-70.375,43.675,5,3,ME,Gas,CC-RC,1
532,2211,-119.325,45.925,5,3,OR,Gas,CC-RC,1
541,2238,-71.575,42.025,5,3,RI,Gas,CC-RC,1
542,2239,-71.625,42.075,5,3,RI,Gas,CC-RC,1
563,2261,-100.975,37.975,2,2,KS,Coal,ST-RC,1
565,2263,-111.925,33.425,2,5,AZ,Oil,ST-RC,1
568,2267,-110.925,32.175,2,2,AZ,Coal,ST-RC,1
569,2267,-110.925,32.175,2,5,AZ,Oil,ST-RC,1
573,2271,-112.225,33.575,2,5,AZ,Oil,ST-RC,1
576,2273,-109.875,32.075,2,2,AZ,Coal,ST-RC,1
577,2273,-109.875,32.075,5,3,AZ,Gas,CC-RC,1
584,2298,-117.525,34.075,2,5,CA,Oil,ST-RC,1
586,2306,-118.275,34.125,5,3,CA,Gas,CC-RC,1
587,2307,-88.175,41.475,2,2,IL,Coal,ST-RC,1
590,2312,-118.175,34.125,2,5,CA,Oil,ST-RC,1
599,2322,-108.525,38.225,2,2,CO,Coal,ST-RC,1
600,2325,-72.075,41.425,1,5,CT,Oil,ST-OT,1
601,2327,-72.575,41.525,1,5,CT,Oil,ST-OT,1
602,2327,-72.575,41.525,2,5,CT,Oil,ST-RC,1
605,2330,-73.175,44.475,2,1,VT,Bio-power,ST-RC,1
640,2378,-90.475,41.525,1,2,IA,Coal,ST-OT,1
646,2393,-89.725,40.575,2,2,IL,Coal,ST-RC,1
651,2401,-89.325,41.275,1,2,IL,Coal,ST-OT,1
652,2405,-90.125,38.825,1,2,IL,Coal,ST-OT,1
662,2417,-87.125,41.675,2,2,IN,Coal,ST-RC,1
663,2419,-86.925,41.725,2,2,IN,Coal,ST-RC,1
673,2429,-90.625,42.525,1,2,IA,Coal,ST-OT,1
674,2429,-90.625,42.525,1,5,IA,Oil,ST-OT,1
675,2430,-91.175,43.325,1,2,IA,Coal,ST-OT,1
676,2431,-90.225,41.775,2,5,IA,Oil,ST-RC,1
677,2433,-91.625,41.975,1,2,IA,Coal,ST-OT,1
678,2434,-92.825,42.025,2,5,IA,Oil,ST-RC,1
679,2435,-93.275,45.025,4,3,MN,Gas,CC-OT,1
683,2438,-91.125,40.775,1,2,IA,Coal,ST-OT,1
686,2442,-94.375,41.125,5,3,IA,Gas,CC-RC,1
687,2444,-100.775,37.175,2,5,KS,Oil,ST-RC,1
688,2445,-99.975,37.725,2,5,KS,Oil,ST-RC,1
699,2458,-100.875,37.975,2,5,KS,Oil,ST-RC,1
709,72728,-87.425,41.725,2,5,IN,Oil,ST-RC,1
712,72745,-71.475,42.875,5,3,NH,Gas,CC-RC,1
716,72767,-85.475,42.975,5,3,MI,Gas,CC-RC,1
717,72775,-106.875,32.125,5,3,NM,Gas,CC-RC,1
720,72783,-72.625,41.925,5,3,CT,Gas,CC-RC,1
723,72820,-78.075,42.525,5,3,NY,Gas,CC-RC,1
737,73093,-70.175,44.425,2,1,ME,Bio-power,ST-RC,1
738,73098,-80.475,40.625,2,4,PA,Nuclear,ST-RC,1
739,73155,-75.325,40.625,5,3,PA,Gas,CC-RC,1
742,73215,-75.775,44.025,2,1,NY,Bio-power,ST-RC,1
753,73422,-89.325,42.075,2,4,IL,Nuclear,ST-RC,1
759,73488,-78.725,40.475,2,2,PA,Coal,ST-RC,1
761,73511,-72.675,41.775,5,3,CT,Gas,CC-RC,1
764,73535,-75.625,43.975,5,3,NY,Gas,CC-RC,1
772,73701,-85.875,42.725,5,3,MI,Gas,CC-RC,1
773,73702,-97.125,39.275,2,5,KS,Oil,ST-RC,1
