,place,lon,lat,cooling,fuel,state,f,c,idc
375,1924,-73.775,42.475,5,3,NY,Gas,CC-RC,5
376,1925,-72.525,42.175,5,3,MA,Gas,CC-RC,5
377,1926,-95.075,29.625,5,3,TX,Gas,CC-RC,0
378,1927,-79.975,39.625,1,2,WV,Coal,ST-OT,5
379,1928,-84.175,43.575,5,3,MI,Gas,CC-RC,1
380,1929,-75.125,39.925,5,3,NJ,Gas,CC-RC,5
381,1930,-107.725,39.525,5,3,CO,Gas,CC-RC,4
382,1931,-93.725,30.075,5,3,TX,Gas,CC-RC,0
383,1936,-91.675,41.975,2,2,IA,Coal,ST-RC,5
384,1937,-88.875,39.875,2,2,IL,Coal,ST-RC,3
385,1939,-88.925,39.825,2,2,IL,Coal,ST-RC,3
386,1940,-73.225,42.425,5,3,MA,Gas,CC-RC,1
387,1941,-74.225,40.625,5,3,NJ,Gas,CC-RC,5
388,1945,-95.025,29.675,5,3,TX,Gas,CC-RC,0
389,1946,-75.425,39.775,5,3,PA,Gas,CC-RC,5
390,1947,-95.575,33.725,5,3,TX,Gas,CC-RC,6
391,1948,-97.725,30.275,5,3,TX,Gas,CC-RC,8
392,1951,-98.575,33.875,5,3,TX,Gas,CC-RC,6
393,1956,-90.375,29.925,5,3,LA,Gas,CC-RC,0
394,1957,-94.825,29.425,5,3,TX,Gas,CC-RC,0
395,1959,-76.775,35.875,1,1,NC,Bio-power,ST-OT,3
396,1960,-79.025,43.075,2,1,NY,Bio-power,ST-RC,1
397,1961,-118.225,33.825,5,3,CA,Gas,CC-RC,6
398,1968,-74.125,40.725,5,3,NJ,Gas,CC-RC,5
399,1970,-81.075,32.075,2,1,GA,Bio-power,ST-RC,0
400,1970,-81.075,32.075,2,2,GA,Coal,ST-RC,0
401,1971,-88.025,30.725,1,2,AL,Coal,ST-OT,0
402,1971,-88.025,30.725,1,1,AL,Bio-power,ST-OT,0
403,1973,-73.775,43.225,5,3,NY,Gas,CC-RC,1
404,1978,-93.275,30.225,5,3,LA,Gas,CC-RC,0
405,1979,-80.875,39.775,1,2,WV,Coal,ST-OT,5
406,1980,-74.125,40.625,5,3,NJ,Gas,CC-RC,5
407,1983,-77.675,36.475,5,3,NC,Gas,CC-RC,3
408,1984,-97.625,35.425,5,3,OK,Gas,CC-RC,3
409,1985,-75.175,39.875,5,3,NJ,Gas,CC-RC,5
410,1987,-94.075,30.075,5,3,TX,Gas,CC-RC,0
411,1989,-104.675,40.375,5,3,CO,Gas,CC-RC,1
412,1990,-104.825,40.075,5,3,CO,Gas,CC-RC,1
413,1996,-75.625,43.075,5,3,NY,Gas,CC-RC,1
414,1998,-75.875,40.875,2,2,PA,Coal,ST-RC,5
415,2000,-74.325,40.475,5,3,NJ,Gas,CC-RC,5
416,2002,-79.525,34.125,2,1,SC,Bio-power,ST-RC,6
417,2004,-95.075,29.775,5,3,TX,Gas,CC-RC,8
418,2007,-74.125,40.875,5,3,NJ,Gas,CC-RC,5
419,2009,-81.975,27.625,5,3,FL,Gas,CC-RC,7
